emg1,emg2,emg3,emg4,emg5,output
152,152,150,150,150,allclose
148,148,146,146,144,allclose
142,140,140,138,136,allclose
136,136,134,132,132,allclose
128,128,128,128,128,allclose
130,126,128,128,128,allclose
130,130,130,130,132,allclose
132,132,134,134,134,allclose
134,132,132,132,132,allclose
132,132,132,130,130,allclose
130,128,128,126,126,allclose
124,124,122,120,120,allclose
118,116,116,114,114,allclose
114,114,112,112,112,allclose
112,112,112,112,112,allclose
112,110,110,106,108,allclose
104,104,104,104,104,allclose
106,106,108,108,108,allclose
106,106,104,102,104,allclose
104,104,106,104,104,allclose
102,100,100,100,100,allclose
100,100,102,104,106,allclose
108,106,108,110,110,allclose
112,114,114,114,114,allclose
114,114,116,118,118,allclose
120,120,122,122,122,allclose
122,124,124,124,122,allclose
124,124,124,124,124,allclose
124,124,126,126,126,allclose
126,126,126,126,126,allclose
124,122,122,120,122,allclose
122,120,120,120,118,allclose
120,120,122,120,122,allclose
120,120,120,118,118,allclose
116,114,114,112,112,allclose
110,110,112,112,114,allclose
114,114,116,116,116,allclose
118,118,120,118,120,allclose
120,120,120,120,120,allclose
120,120,122,120,120,allclose
120,120,120,122,120,allclose
120,120,120,120,122,allclose
120,120,120,118,118,allclose
118,118,118,118,118,allclose
118,118,116,114,112,allclose
110,110,110,108,110,allclose
110,108,108,108,108,allclose
106,104,102,100,102,allclose
100,98,98,96,94,allclose
94,94,92,92,92,allclose
90,88,88,86,86,allclose
88,86,86,86,86,allclose
86,86,88,88,90,allclose
92,92,94,94,94,allclose
94,94,94,94,94,allclose
94,96,96,96,96,allclose
98,96,98,98,96,allclose
98,100,100,100,100,allclose
100,100,100,100,100,allclose
98,98,98,98,98,allclose
98,100,100,100,100,allclose
100,100,100,100,100,allclose
100,100,102,102,102,allclose
100,100,98,100,98,allclose
98,98,98,98,98,allclose
98,98,98,98,98,allclose
98,98,98,98,98,allclose
98,98,98,98,98,allclose
98,96,96,94,94,allclose
92,92,94,92,92,allclose
92,94,94,94,94,allclose
94,94,94,94,94,allclose
94,96,96,98,98,allclose
100,100,100,100,100,allclose
100,100,102,104,104,allclose
106,106,106,108,106,allclose
106,106,106,104,106,allclose
106,106,108,108,108,allclose
106,106,104,102,104,allclose
102,102,102,102,102,allclose
102,102,102,102,102,allclose
100,102,102,100,100,allclose
100,98,98,98,98,allclose
100,98,102,102,102,allclose
102,102,102,102,102,allclose
104,104,108,108,108,allclose
110,108,110,110,110,allclose
110,110,108,108,108,allclose
106,106,106,106,108,allclose
108,108,108,108,108,allclose
108,108,108,108,108,allclose
110,110,110,110,110,allclose
112,112,112,112,112,allclose
112,112,112,112,112,allclose
112,112,112,112,112,allclose
114,114,116,116,118,allclose
118,116,116,116,118,allclose
118,118,118,118,116,allclose
116,116,116,116,114,allclose
114,114,114,114,114,allclose
112,112,112,112,112,allclose
114,114,116,118,120,allclose
120,122,120,122,122,allclose
124,124,128,130,132,allclose
132,134,132,134,134,allclose
134,134,134,136,136,allclose
136,136,134,134,134,allclose
134,134,136,136,138,allclose
140,138,138,136,136,allclose
134,134,134,132,134,allclose
134,134,134,132,134,allclose
132,134,134,132,134,allclose
134,132,134,136,136,allclose
136,136,136,136,136,allclose
138,138,138,138,138,allclose
138,138,138,140,138,allclose
140,140,140,140,140,allclose
140,138,140,138,140,allclose
140,142,142,142,142,allclose
142,142,142,142,142,allclose
142,142,142,140,140,allclose
138,140,138,140,140,allclose
140,140,138,138,136,allclose
136,136,138,136,138,allclose
136,136,136,136,136,allclose
136,136,136,136,136,allclose
